OBJET;ADRESSE;COMMUNE;type;canton
Fond cantonal d'art contemporain;Sentier des Saules 3;Genève ;MUSEE;Genève
Fondation Braillard architectes;Rue Saint-Léger 16;Genève;ARCHIVE;Genève
Musée d'art et d'histoire;Rue Charles-Galland 2;Genève;MUSEE;Genève
Bibliothèques et archives de la SDN et de l'ONU;Avenue de la Paix 14;Genève;BIBLIOTHEQUE;Genève
Musée international de la Réforme;Rue du Cloître 4;Genève;MUSEE;Genève
Muséum d'histoire naturelle;Route de Malagnou 1;Genève;MUSEE;Genève
Musée d'ethnographie;Boulevard Carl-Vogt 65;Genève;MUSEE;Genève
MAMCO;Rue des Vieux-Grenadiers 10;Genève;MUSEE;Genève
Archives de la TSR, D+A;Quai Ernest-Ansermet 20;Genève;ARCHIVE;Genève
Fondation pour les arts de scène et de l'image;Rue du Temple 5;Genève;ARCHIVE;Genève
Institut d'Architecture de l'Université de Genève;Route de Drize 7;Carouge;BIBLIOTHEQUE;Genève
Bibliothèque du conservatoire de musique;Place de Neuve 5;Genève;BIBLIOTHEQUE;Genève
Bibliotheca Bodmeriana - Fondation Bodmer;Route du Guignard 19 - 21;Cologny;BIBLIOTHEQUE;Genève
Archives de l'UIT;Chemin des Colombettes 34;Genève;ARCHIVE;Genève
Bibliothèque musicale de la Ville de Genève;Rue Général-Dufour 16;Genève;BIBLIOTHEQUE;Genève
Bibliothèque d'art et d'archéologie;Promenade du Pin 5;Genève;BIBLIOTHEQUE;Genève
Musée d'histoire des sciences;Rue de Lausanne 128;Genève;MUSEE;Genève
Centre d'iconographie genevoise;Passage de la Tour 2;Genève;ARCHIVE;Genève
Fondation Archives Institut J.-J.-Rousseau;Boulevard du Pont-d'Arve 40;Genève;ARCHIVE;Genève
Archives de l'université;Quai du Seujet 14;Genève;ARCHIVE;Genève
Musée de Carouge;Place de Sardaigne 2;Carouge;MUSEE;Genève
Archives de la Ville de Genève;Rue de la Croix-Rouge 4;Genève;ARCHIVE;Genève
Archives de l'YMCY;Clos-Belmont 12;Genève;ARCHIVE;Genève
Archives de l'OMC;Rue de Lausanne 154;Genève;ARCHIVE;Genève
Archives de l'OMM;Avenue de la Paix 7BIS;Genève;ARCHIVE;Genève
Archives communales de Carouge;Place du Marché 14;Carouge;ARCHIVE;Genève
"Bibliothèque juive de Genève ""Gérard Nordman""";Avenue Dumas 21;Genève;BIBLIOTHEQUE;Genève
Archives du Collège de Genève;Rue Théodore-de-Bèze 4;Genève;ARCHIVE;Genève
Bibliothèque de la Société de lecture de Genève;Grand'Rue 11;Genève;BIBLIOTHEQUE;Genève
Bibliothèques du BIT;Route des Morillons 4;Genève;BIBLIOTHEQUE;Genève
Maison Tavel;Rue du Puits-Saint-Pierre 6;Genève;MUSEE;Genève
Bibliothèque de La Grange;Parc de La Grange;Genève;BIBLIOTHEQUE;Genève
Fondation Archives Vie Privée;Rue de la Tannerie 2BIS;Carouge;ARCHIVE;Genève
FMAC;Rue des Bains 34;Genève;MUSEE;Genève
Archives centrales des HUG;Rue Gabrielle-Perret-Gentil 4;Genève;ARCHIVE;Genève
Archives Micheli;Route du Prieur 48;Bardonnex;ARCHIVE;Genève
Musée de l'Ordre de Malte;Route de Cugny 99;Bardonnex;MUSEE;Genève
Bibliothèque et collections du CJB;Chemin de l'Impératrice 1;Genève;MUSEE;Genève
Bibliothèque du musée international de la Réforme;Rue du Cloître 4;Genève;BIBLIOTHEQUE;Genève
Institut et Musée Voltaire;Rue des Délices 25;Genève;MUSEE;Genève
Musée Ariana;Avenue de la Paix 10;Genève;MUSEE;Genève
Archives d'Etat de Genève (dépôt);Rue de la Terrassière 52;Genève;ARCHIVE;Genève
Cabinet d'arts graphiques;Promenade du Pin 5;Genève;MUSEE;Genève
Archives historiques du BIT;Route des Morillons 4;Genève;ARCHIVE;Genève
Musée Barbier-Mueller;Rue Jean-Calvin 10;Genève;MUSEE;Genève
Annexe du musée d'ethnographie;Chemin Calandrini 7;Chêne-Bougeries;MUSEE;Genève
Archives de l'UNHCR;Rue de Montbrillant 94;Genève;ARCHIVE;Genève
Bibliothèque de Genève;Promenade des Bastions 1;Genève;BIBLIOTHEQUE;Genève
La Criée;Quai du Rhône 12;Genève;ARCHIVE;Genève
Archives d'Etat de Genève;Rue de l'Hôtel-de-Ville 1;Genève;ARCHIVE;Genève
Ecomusée Voltaire;Rue du Vuache 25;Genève;MUSEE;Genève
Archives du  CICR;Avenue de la Paix 19;Genève;ARCHIVE;Genève
Fondation Zoubov;Rue des Granges 2;Genève;MUSEE;Genève
Fondation Baur, musée des arts d'Extrème-Orient;Rue Munier-Romilly 8;Genève;MUSEE;Genève
Musée int. de la croix rouge et du croissant rouge;Avenue de la Paix 17;Genève;MUSEE;Genève
